Original_id,Tag,Question,Answer,Source
1, General FAQs ,what is income tax,"n , It is a tax levied by the Government of India on the income of every person. The provisions governing the Income tax are covered in the Income tax Act, 1961. , n",Original
2, General FAQs ,what is the administrative framework of income tax,", The revenue functions of the Government of India are managed by the Ministry of Finance. The Finance Ministry has entrusted the task of administration of direct taxes like Income tax, Wealth tax, etc., to the Central Board of Direct Taxes CBDT . The CBDT is a part of Department of Revenue in the Ministry of Finance. , CBDT provides essential inputs for policy framing and planning of direct taxes and also administers the direct tax laws through the Income tax Department. Thus, Income tax Law is administrated by the Income tax Department under the control and supervision of the CBDT.",Original
3, General FAQs ,what is the period for which a person s income is taken into account for the purpose of income tax,"Income tax is levied on the annual income of a person. The year under the Income tax Law is the period starting from 1 , st , April and ending on 31 , st , March of next calendar year. The Income tax Law classifies the year as 1 Previous year, and 2 Assessment year. , The year in which income is earned is called as previous year and the year in which the income is charged to tax is called as assessment year. , n , e.g., , Income earned during the period of 1 , st , April, 2019 xa0to 31 , st , March, 2020 xa0is treated as income of the previous year 2019 20. Income of the previous year 2019 20 xa0will be charged to tax in the next year, n , i.e., , in the assessment year 2020 21.",Original
4, General FAQs ,who is supposed to pay income tax,", Income tax is to be paid by every person. The term person as defined under the Income tax Act under n , section 2 3 , covers in its ambit natural as well as artificial persons. , For the purpose of charging Income tax, the term person includes Individual, Hindu Undivided Families HUFs , Association of Persons AOPs , Body of individuals BOIs , Firms, LLPs, Companies, Local authority and any artificial juridical person not covered under any of the above. , Thus, from the definition of the term person it can be observed that, apart from a natural person, n , i.e., , an individual, any sort of artificial entity will also be liable to pay Income tax.",Original
5, General FAQs ,how does the government collect income tax,", Taxes are collected by the Government through three means a voluntary payment by taxpayers into various designated Banks. For example, Advance Tax and Self Assessment Tax paid by the taxpayers, b Taxes deducted at source TDS from the income of the receiver, and c Taxes collected at source TCS . It is the constitutional obligation of every person earning income to compute his income and pay taxes correctly.",Original
6, General FAQs ,how will i know how much income tax i have to pay,"The rates of Income tax and corporate taxes are available in the Finance Act passed by the Parliament every year. You can also check your tax liability by using the free online tax calculator available at www.incometaxindia.gov.in , n , n , Click here , to check xa0your tax liability , n , , Click he re , to view tax rates ,",Original
7, General FAQs ,from where can i take the help of any expert on income tax related matters,You can take the help of tax professionals or the help of Public Relations Officer PRO in the local office of the Income tax Department. You may also take assistance from Tax Return Preparers TRPs . You can locate your nearest TRP at www.trpscheme.com,Original
8, General FAQs ,in the challan there are terms like income tax on companies income tax other than companies what do they mean,"The tax that is to be paid by the companies on their income is called as corporate tax, and for payment of same in the challan it is mentioned as Income tax on Companies Corporation tax  0020. Tax paid by non corporate assessees is called as Income tax, and for payment of the same in the challan it is to be mentioned as Income tax other than Companies  0021.",Original
9, General FAQs ,how is advance tax calculated and paid,"Advance tax is to be calculated on the basis of expected tax liability of the year. Advance tax is to be paid in instalments as given below , a In case of all the assessees other than the eligible assessees as referred to in n , section 44AD , and n , 44ADA , , i Up to 15 per cent On or before 15th June , ii Up to 45 per cent On or before 15th September , iii Up to 75 per cent On or before 15th December , iv Up to 100 per cent On or before 15th March , b In case of eligible assessee as referred to in n , section 44AD , and n , 44ADA , , n , Up to 100 per cent On or before 15th March , Note Any advance tax paid on or before 31st day of March shall also be treated as paid during the same financial year. , The deposit of advance tax is made through challan n , ITNS 280 , by ticking the relevant column, n , i.e. , , advance tax.",Original
10, General FAQs ,what is tax on regular assessment and how is it paid,", , Under the Income tax Act, every person has the responsibility to correctly compute and pay his due taxes. Where the Department finds that there has been understatement of income and resultant tax due, it takes measures to compute the actual tax amount that ought to have been paid. This demand raised on the person is called as Tax on regular assessment. The tax on regular assessment 400 has to be paid within 30 days of receipt of the notice of demand .",Original
